 2024-10-02 13:24:01.640 | ERROR | create_new_user | Create New User | yovan@gmail.com | Failed, 'CreateUserRequest' object has no attribute 'job_role'
 2024-10-02 13:24:01.644 | ERROR | create_user | User Creation Failed | yovan@gmail.com | Failed to save user
 2024-10-02 13:24:29.159 | INFO | create_user | User Created Successfully | yovan@gmail.com | User Created
 2024-10-02 13:26:29.820 | INFO | login | Login Successful | 1 | None
 2024-10-02 17:15:09.974 | INFO | login | Login Successful | 1 | None
 2024-10-02 17:29:31.848 | INFO | login | Login Successful | 1 | None
 2024-10-02 18:01:39.996 | INFO | login | Login Successful | 1 | None
 2024-10-03 14:28:18.805 | ERROR | login | Login Failed | 1 | Invalid Password
 2024-10-03 14:28:27.208 | INFO | login | Login Successful | 1 | None
 2024-10-03 14:29:09.738 | INFO | login | Login Successful | 1 | None
 2024-10-03 14:29:12.048 | INFO | login | Login Successful | 1 | None
 2024-10-03 14:29:13.088 | INFO | login | Login Successful | 1 | None
 2024-10-03 14:29:13.248 | INFO | login | Login Successful | 1 | None
 2024-10-03 14:29:13.431 | INFO | login | Login Successful | 1 | None
 2024-10-03 14:29:13.643 | INFO | login | Login Successful | 1 | None
 2024-10-03 14:29:43.850 | INFO | login | Login Successful | 1 | None
 2024-10-03 14:30:15.859 | INFO | login | Login Successful | 1 | None
 2024-10-03 14:31:32.161 | INFO | login | Login Successful | 1 | None
 2024-10-03 14:33:05.051 | INFO | login | Login Successful | 1 | None
 2024-10-03 14:34:52.199 | INFO | login | Login Successful | 1 | None
 2024-10-03 14:34:53.326 | INFO | login | Login Successful | 1 | None
 2024-10-03 14:41:41.513 | INFO | login | Login Successful | 1 | None
 2024-10-03 14:41:43.500 | INFO | login | Login Successful | 1 | None
 2024-10-03 14:41:43.537 | INFO | login | Login Successful | 1 | None
 2024-10-03 14:43:16.499 | INFO | login | Login Successful | 1 | None
 2024-10-03 14:43:51.355 | INFO | login | Login Successful | 1 | None
 2024-10-03 14:43:52.561 | INFO | login | Login Successful | 1 | None
 2024-10-03 14:43:53.468 | INFO | login | Login Successful | 1 | None
 2024-10-03 14:44:07.147 | INFO | login | Login Successful | 1 | None
 2024-10-03 14:51:09.151 | INFO | login | Login Successful | 1 | None
 2024-10-03 14:51:10.863 | INFO | login | Login Successful | 1 | None
 2024-10-03 14:51:12.884 | INFO | login | Login Successful | 1 | None
 2024-10-03 14:51:29.611 | INFO | login | Login Successful | 1 | None
 2024-10-03 14:51:38.100 | INFO | login | Login Successful | 1 | None
 2024-10-03 14:53:24.994 | INFO | login | Login Successful | 1 | None
 2024-10-03 14:53:37.597 | INFO | login | Login Successful | 1 | None
 2024-10-03 14:53:39.832 | INFO | login | Login Successful | 1 | None
 2024-10-03 14:54:28.529 | INFO | login | Login Successful | 1 | None
 2024-10-03 14:54:31.216 | INFO | login | Login Successful | 1 | None
 2024-10-03 14:54:32.496 | INFO | login | Login Successful | 1 | None
 2024-10-03 15:11:04.372 | INFO | login | Login Successful | 1 | None
 2024-10-03 15:12:13.852 | INFO | login | Login Successful | 1 | None
 2024-10-03 15:14:40.923 | INFO | login | Login Successful | 1 | None
 2024-10-03 15:23:37.814 | INFO | login | Login Successful | 1 | None
 2024-10-03 15:26:53.918 | INFO | login | Login Successful | 1 | None
 2024-10-03 15:27:31.448 | INFO | login | Login Successful | 1 | None
 2024-10-03 15:27:53.649 | INFO | login | Login Successful | 1 | None
 2024-10-03 15:28:11.109 | INFO | login | Login Successful | 1 | None
 2024-10-03 15:28:11.271 | INFO | login | Login Successful | 1 | None
 2024-10-03 15:28:28.247 | INFO | login | Login Successful | 1 | None
 2024-10-03 15:29:45.257 | INFO | login | Login Successful | 1 | None
 2024-10-03 15:38:32.657 | INFO | login | Login Successful | 1 | None
 2024-10-03 15:39:43.593 | INFO | login | Login Successful | 1 | None
 2024-10-03 15:39:54.731 | INFO | login | Login Successful | 1 | None
 2024-10-03 15:40:00.897 | INFO | login | Login Successful | 1 | None
 2024-10-03 15:40:07.804 | INFO | login | Login Successful | 1 | None
 2024-10-03 15:40:47.904 | INFO | login | Login Successful | 1 | None
 2024-10-03 15:41:50.209 | INFO | login | Login Successful | 1 | None
 2024-10-03 15:42:25.556 | INFO | login | Login Successful | 1 | None
 2024-10-03 15:42:37.545 | INFO | login | Login Successful | 1 | None
 2024-10-03 15:44:18.621 | INFO | login | Login Successful | 1 | None
 2024-10-03 15:45:02.804 | INFO | login | Login Successful | 1 | None
 2024-10-03 15:45:04.722 | INFO | login | Login Successful | 1 | None
 2024-10-03 15:45:13.310 | INFO | login | Login Successful | 1 | None
 2024-10-03 15:50:36.328 | INFO | login | Login Successful | 1 | None
 2024-10-03 15:59:40.467 | INFO | login | Login Successful | 1 | None
 2024-10-03 16:28:40.005 | INFO | login | Login Successful | 1 | None
 2024-10-03 16:31:49.845 | INFO | login | Login Successful | 1 | None
 2024-10-03 17:14:57.267 | INFO | login | Login Successful | 1 | None
 2024-10-03 17:14:57.409 | INFO | login | Login Successful | 1 | None
 2024-10-03 18:34:16.926 | INFO | login | Login Successful | 1 | None
 2024-10-03 18:43:35.974 | INFO | login | Login Successful | 1 | None
 2024-10-03 18:44:31.203 | INFO | login | Login Successful | 1 | None
 2024-10-03 18:45:17.028 | INFO | login | Login Successful | 1 | None
 2024-10-03 18:47:42.282 | INFO | login | Login Successful | 1 | None
 2024-10-03 18:49:10.437 | INFO | login | Login Successful | 1 | None
 2024-10-04 08:41:33.220 | INFO | login | Login Successful | 1 | None
 2024-10-04 08:44:56.790 | INFO | login | Login Successful | 1 | None
 2024-10-04 08:44:58.355 | INFO | login | Login Successful | 1 | None
 2024-10-04 08:45:38.128 | INFO | login | Login Successful | 1 | None
 2024-10-04 08:45:38.868 | INFO | login | Login Successful | 1 | None
 2024-10-04 08:45:40.011 | INFO | login | Login Successful | 1 | None
 2024-10-04 08:45:41.060 | INFO | login | Login Successful | 1 | None
 2024-10-04 08:45:42.202 | INFO | login | Login Successful | 1 | None
 2024-10-04 08:46:47.796 | INFO | login | Login Successful | 1 | None
 2024-10-04 08:47:45.170 | INFO | login | Login Successful | 1 | None
 2024-10-04 08:48:35.671 | INFO | login | Login Successful | 1 | None
 2024-10-04 08:50:40.256 | INFO | login | Login Successful | 1 | None
 2024-10-04 08:51:08.783 | INFO | login | Login Successful | 1 | None
 2024-10-04 08:53:11.588 | INFO | login | Login Successful | 1 | None
 2024-10-04 08:55:04.023 | INFO | login | Login Successful | 1 | None
 2024-10-04 09:00:24.237 | INFO | login | Login Successful | 1 | None
 2024-10-04 09:01:25.402 | INFO | login | Login Successful | 1 | None
